"Target","z_source","z_lens","magnification","AB magnitude (lensed LAE UV continuum)","Ly-a wavelength (A)"
"SDSSJ002927.38+254401.7",2.4504,0.5869,14,21.5,4195.6864
"SDSSJ011300.57+025046.2",2.6088,0.623,26,22.8,4388.3008
"SDSSJ020121.39+322829.6",2.8209,0.3957,15,20.6,4646.2144
"SDSSJ023740.63?064112.9",2.2491,0.4859,9,25,3950.9056
"SDSSJ074249.68+334148.9",2.3633,0.4936,16,22.2,4089.7728
"SDSSJ075523.52+344539.5",2.6347,0.7224,14,21.1,4419.7952
"SDSSJ085621.59+201040.5",2.2335,0.5074,6,23.6,3931.936
"SDSSJ091807.86+451856.7",2.344,0.5238,7,22.1,4066.304
"SDSSJ091859.21+510452.5",2.403,0.5811,18,20.9,4138.048
"SDSSJ111027.11+280838.4",2.3999,0.6073,8,23.9,4134.2784
"SDSSJ111040.42+364924.4",2.5024,0.733,17,21.6,4258.9184
"SDSSJ111634.55+091503.0",2.4536,0.5501,4,23,4199.5776
"SDSSJ114154.71+221628.8",2.7624,0.5858,8,22.6,4575.0784
"SDSSJ120159.02+474323.2",2.1258,0.5628,12,21.3,3800.9728
"SDSSJ122656.45+545739.0",2.7322,0.498,13,18.4,4538.3552
"SDSSJ222825.76+120503.9",2.8324,0.5305,6,22.8,4660.1984
"SDSSJ234248.68?012032.5",2.2649,0.527,23,22.7,3970.1184
