"Target","z_source","z_lens","magnification","AB magnitude (lensed LAE UV continuum)","Ly-a wavelength (A)"
"SDSSJ002927.38+254401.7",2.4504,0.5869,14,21.5,4192.236
"SDSSJ011300.57+025046.2",2.6088,0.623,26,22.8,4384.692
"SDSSJ020121.39+322829.6",2.8209,0.3957,15,20.6,4642.3935
"SDSSJ023740.63?064112.9",2.2491,0.4859,9,25,3947.6565
"SDSSJ074249.68+334148.9",2.3633,0.4936,16,22.2,4086.4095
"SDSSJ075523.52+344539.5",2.6347,0.7224,14,21.1,4416.1605
"SDSSJ085621.59+201040.5",2.2335,0.5074,6,23.6,3928.7025
"SDSSJ091807.86+451856.7",2.344,0.5238,7,22.1,4062.96
"SDSSJ091859.21+510452.5",2.403,0.5811,18,20.9,4134.645
"SDSSJ111027.11+280838.4",2.3999,0.6073,8,23.9,4130.8785
"SDSSJ111040.42+364924.4",2.5024,0.733,17,21.6,4255.416
"SDSSJ111634.55+091503.0",2.4536,0.5501,4,23,4196.124
"SDSSJ114154.71+221628.8",2.7624,0.5858,8,22.6,4571.316
"SDSSJ120159.02+474323.2",2.1258,0.5628,12,21.3,3797.847
"SDSSJ122656.45+545739.0",2.7322,0.498,13,18.4,4534.623
"SDSSJ222825.76+120503.9",2.8324,0.5305,6,22.8,4656.366
"SDSSJ234248.68?012032.5",2.2649,0.527,23,22.7,3966.8535
